Год;Строительство;Деятельность в области информации и связи;Финансовая деятельность;Всего по экономике
2000;2640;2879;5232;2223
2001;3859;4131;8885;3240
2002;4807;5662;13246;4360
2003;6177;7304;15561;5499
2004;7305;8974;17384;6740
2005;9043;11389;22464;8555
2006;10869;13220;27886;10634
2007;14333;16043;34880;13593
2008;18574;19918;41872;17290
2009;18122;20923;42373;18638
2010;21172;24275;50120;20952
2011;23682;26995;55789;23369
2012;25951;28701;58999;26629
2013;27701;31346;63333;29792
2014;29354;33705;68565;32495
2015;29960;34958;70088;34030
2016;32332;37984;80289;36709
2017;33678;58811;84904;39167
2018;38518;66590;91070;43724
2019;42630;75898;103668;47867
2020;44738;85648;112680;51344
2021;51944;97434;130223;57244
2022;60850;121262;146637;65338
2023;68944;130326;169106;73709
